"b";"varh";"evh";"evl";"varl";"xh";"yh";"xl";"yl";"pxh";"pyh";"pxl";"pyl";"start";"ntrials";"trial";"state";"ERrisky";"ERsafe";"adrisky";"type";"nr"
26;5.76;8.2;8.2;0.36;9;1;10;8;0.9;0.1;0.1;0.9;0;3;2;8;0.81;0.19;0.62;"2 risky re";1
25;13.44;6.6;6.6;0.84;10;2;9;7;0.7;0.3;0.3;0.7;0;3;2;7;0.49;0.21;0.28;"2 risky nore";2
15;7.84;4.4;4.4;1.44;10;3;5;2;0.2;0.8;0.8;0.2;0;3;2;5;0.36;0.68;-0.32;"2 safe re";3
17;17.01;3.7;3.7;0.21;10;1;4;3;0.3;0.7;0.7;0.3;0;3;2;10;0.51;0.91;-0.4;"2 safe nore";4
18;11.76;5.2;5.2;0.36;8;1;7;5;0.6;0.4;0.1;0.9;0;3;3;12;0.6;0.1;0.5;"3 risky re";5
28;13.44;7.6;7.6;0.84;12;4;11;9;0.7;0.3;0.3;0.7;0;3;3;18;0.7;0.3;0.4;"3 risky nore";6
14;11.76;3.8;3.8;0.36;9;2;5;3;0.4;0.6;0.9;0.1;0;3;3;10;0.4;0.9;-0.5;"3 safe re";7
20;17.01;3.7;3.7;0.21;11;2;5;4;0.3;0.7;0.7;0.3;0;3;3;15;0.3;0.7;-0.4;"3 safe nore";8
16;7.56;5.2;5.2;0.16;7;1;6;5;0.7;0.3;0.2;0.8;0;3;2;6;0.7;1;-0.3;"2 safe re control";9
19;12.25;6.5;6.5;6.75;11;4;9;3;0.5;0.5;0.75;0.25;0;3;2;11;1;0.9375;0.0625;"2 risky nore control";10
23;17.01;3.7;3.7;0.21;13;4;7;6;0.3;0.7;0.7;0.3;0;3;3;14;0.3;0;0.3;"3 risky nore control";11
